Wallclock,Robot,State,Duration,From,To,TotalDistance,IdleTime,TotalTime
00:00:00,MSR1,Park,0,p1,p1,0,0,0
00:00:00,MSR2,Park,0,p2,p2,0,0,0
00:00:00,MSR1,Move,3.336888888888888,p1,m11,3.336888888888888,0,3.336888888888888
00:00:00,MSR2,Move,12.224255701546417,p2,m31,12.224255701546417,0,12.224255701546417
00:00:03.336889,MSR1,Calibrate,9.181758328783266,m11,m11,3.336888888888888,0,12.518647217672154
00:00:12.224256,MSR2,Calibrate,8.210873604782162,m31,m31,12.224255701546417,0,20.435129306328577
00:00:12.518648,MSR1,Wait,9.930112611883928,m11,m11,3.336888888888888,9.930112611883928,22.44875982955608
00:00:20.435130,MSR2,Wait,4.846645655996606,m31,m31,12.224255701546417,4.846645655996606,25.281774962325184
00:00:22.448761,MSR1,Swabbing,11.97291988856734,m11,m11,3.336888888888888,9.930112611883928,34.42167971812342
00:00:25.281776,MSR2,Swabbing,11.913657890982927,m31,m31,12.224255701546417,4.846645655996606,37.19543285330811
00:00:34.421681,MSR1,Move,2.7896296296296326,m11,m12,4.173777777777778,9.930112611883928,37.21130934775305
00:00:37.195434,MSR2,Move,2.7896296296296326,m31,m32,13.061144590435307,4.846645655996606,39.98506248293774
00:00:37.211310,MSR1,Calibrate,10.033145051727661,m12,m12,4.173777777777778,9.930112611883928,47.244454399480716
00:00:39.985063,MSR2,Calibrate,10.73689020183201,m32,m32,13.061144590435307,4.846645655996606,50.721952684769754
00:00:47.244455,MSR1,Wait,9.428263327381512,m12,m12,4.173777777777778,19.35837593926544,56.67271772686223
00:00:50.721953,MSR2,Wait,5.430652403995148,m32,m32,13.061144590435307,10.277298059991754,56.1526050887649
00:00:56.152605,MSR2,Swabbing,12.024363500768121,m32,m32,13.061144590435307,10.277298059991754,68.17696858953302
00:00:56.672718,MSR1,Swabbing,11.861142745487772,m12,m12,4.173777777777778,19.35837593926544,68.53386047235
00:01:08.176969,MSR2,Move,2.7896296296296326,m32,m33,13.898033479324196,10.277298059991754,70.96659821916265
00:01:08.533861,MSR1,Move,2.7896296296296326,m12,m13,5.010666666666667,19.35837593926544,71.32349010197963
00:01:10.966599,MSR2,Calibrate,11.4430967653078,m33,m33,13.898033479324196,10.277298059991754,82.40969498447045
00:01:11.323491,MSR1,Calibrate,11.465329562298944,m13,m13,5.010666666666667,19.35837593926544,82.78881966427858
00:01:22.409696,MSR2,Wait,4.376696986427465,m33,m33,13.898033479324196,14.653995046419219,86.78639197089791
00:01:22.788821,MSR1,Wait,7.109546421232592,m13,m13,5.010666666666667,26.46792236049803,89.89836608551117
00:01:26.786393,MSR2,Swabbing,11.952252579341728,m33,m33,13.898033479324196,14.653995046419219,98.73864455023964
00:01:29.898367,MSR1,Swabbing,11.84991798242431,m13,m13,5.010666666666667,26.46792236049803,101.74828406793549
00:01:38.738645,MSR2,Move,2.7896296296296264,m33,m34,14.734922368213084,14.653995046419219,101.52827417986927
00:01:41.528275,MSR2,Calibrate,10.689640305062614,m34,m34,14.734922368213084,14.653995046419219,112.21791448493188
00:01:41.748285,MSR1,Move,2.7896296296296264,m13,m14,5.847555555555555,26.46792236049803,104.53791369756512
00:01:44.537915,MSR1,Calibrate,8.862568303598398,m14,m14,5.847555555555555,26.46792236049803,113.40048200116351
00:01:52.217916,MSR2,Wait,8.772011782439519,m34,m34,14.734922368213084,23.42600682885874,120.9899262673714
00:01:53.400484,MSR1,Wait,7.24162847231464,m14,m14,5.847555555555555,33.70955083281267,120.64211047347816
00:02:00.642112,MSR1,Swabbing,12.11480895267385,m14,m14,5.847555555555555,33.70955083281267,132.756919426152
00:02:00.989928,MSR2,Swabbing,11.91514120964518,m34,m34,14.734922368213084,23.42600682885874,132.9050674770166
